epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,20985.1,3.76464,1.99763,1.65407,0.64403,0.51853,0.56573,0.20838,3.96861,1.83913,1.60727,0.0010496,0.0010496,0.0010496
26,21817,3.78947,2.01166,1.65299,0.61116,0.54157,0.55152,0.18248,4.10892,1.84613,1.62449,0.00101,0.00101,0.00101
27,22678,3.76922,2.01162,1.66126,0.63075,0.54517,0.57872,0.20382,4.10277,1.85746,1.63398,0.0009704,0.0009704,0.0009704
28,23512.5,3.72763,2.00737,1.65671,0.62053,0.57223,0.59018,0.20614,4.02154,1.85436,1.60699,0.0009308,0.0009308,0.0009308
29,24366.5,3.74457,1.99829,1.65671,0.63988,0.55431,0.58908,0.22134,3.90881,1.83176,1.59855,0.0008912,0.0008912,0.0008912
30,25226,3.72116,1.98104,1.64958,0.65011,0.53919,0.59085,0.22189,3.95189,1.82971,1.60695,0.0008516,0.0008516,0.0008516
31,26056.7,3.72476,1.97692,1.64791,0.58894,0.59917,0.59487,0.2208,3.99772,1.84187,1.6256,0.000812,0.000812,0.000812
32,26885.6,3.7245,1.9755,1.64273,0.63602,0.58771,0.60722,0.23103,3.87877,1.76061,1.59876,0.0007724,0.0007724,0.0007724
33,27741.1,3.69789,1.96853,1.64571,0.62054,0.6227,0.62259,0.23822,3.88136,1.75603,1.60204,0.0007328,0.0007328,0.0007328
34,28602.7,3.67874,1.96004,1.64537,0.63427,0.574,0.59218,0.20211,4.02776,1.80603,1.61015,0.0006932,0.0006932,0.0006932
35,29448,3.70047,1.95311,1.64871,0.62636,0.58765,0.60621,0.22304,3.93264,1.78575,1.6008,0.0006536,0.0006536,0.0006536
36,30272.9,3.7033,1.93129,1.63172,0.62517,0.59228,0.60823,0.23056,3.87935,1.76101,1.59598,0.000614,0.000614,0.000614
37,31108.5,3.67283,1.95152,1.64663,0.65977,0.57162,0.60891,0.22728,3.87735,1.77461,1.59336,0.0005744,0.0005744,0.0005744
38,31951.5,3.68364,1.94048,1.64307,0.66168,0.57174,0.61246,0.23339,3.856,1.76426,1.59079,0.0005348,0.0005348,0.0005348
39,32766.3,3.68848,1.91357,1.62594,0.65863,0.58473,0.62474,0.24833,3.80056,1.72623,1.59067,0.0004952,0.0004952,0.0004952
40,33579.7,3.66455,1.91962,1.63476,0.63591,0.59265,0.61542,0.24386,3.75303,1.72301,1.5773,0.0004556,0.0004556,0.0004556
41,34427,3.49228,1.83649,1.65646,0.6439,0.61776,0.63429,0.23072,3.92387,1.72917,1.59911,0.000416,0.000416,0.000416
42,35305.7,3.47865,1.80033,1.65044,0.66697,0.62246,0.64935,0.24157,3.86638,1.67305,1.58874,0.0003764,0.0003764,0.0003764
43,36229.5,3.48289,1.77535,1.63806,0.65303,0.63452,0.65708,0.2449,3.86847,1.67191,1.59624,0.0003368,0.0003368,0.0003368
44,37096.1,3.483,1.76797,1.63381,0.67344,0.61203,0.65497,0.25186,3.81712,1.67011,1.58427,0.0002972,0.0002972,0.0002972
45,37920.9,3.45083,1.76248,1.63268,0.66675,0.64159,0.66913,0.26139,3.76683,1.65488,1.58351,0.0002576,0.0002576,0.0002576
46,38763.3,3.41191,1.74366,1.63953,0.66349,0.64476,0.6704,0.25338,3.8388,1.65697,1.59,0.000218,0.000218,0.000218
47,39592.3,3.41699,1.71976,1.63778,0.67169,0.65519,0.68436,0.27604,3.7331,1.60506,1.58126,0.0001784,0.0001784,0.0001784
48,40413.6,3.41754,1.72118,1.62726,0.6739,0.64958,0.67879,0.26735,3.79415,1.62205,1.58861,0.0001388,0.0001388,0.0001388
49,41181.4,3.40936,1.68607,1.61267,0.68468,0.64007,0.67874,0.27473,3.70925,1.60531,1.57601,9.92e-05,9.92e-05,9.92e-05
50,42023,3.40274,1.69813,1.62593,0.68441,0.65458,0.68685,0.26878,3.77874,1.61756,1.58479,5.96e-05,5.96e-05,5.96e-05
